station_id,lat,lon,cluster_id
111,19.436522,-99.139811,14
112,19.433757,-99.135331,14
113,19.43163,-99.158547,0
114,19.425311,-99.137421,14
115,19.430369,-99.154419,0
116,19.424161,-99.153117,4
117,19.437569,-99.15468,16
118,19.43531137040153,-99.14778560405466,14
119,19.4267528,-99.16861944,5
120,19.427338,-99.16672,0
121,19.428985,-99.15664,0
122,19.429453,-99.16283,0
123,19.4298428,-99.1693702,5
124,19.42491,-99.172455,5
125,19.436274,-99.158425,0
126,19.438197,-99.165918,19
127,19.440839,-99.152265,16
128,19.440985,-99.152935,16
129,19.437118,-99.161862,19
130,19.442467,-99.151658,16
131,19.42528,-99.175106,5
132,19.439177,-99.159957,19
133,19.429924814772583,-99.15965178055556,0
134,19.442707,-99.152956,16
135,19.424558,-99.163518,0
136,19.432223,-99.161686,0
137,19.430963,-99.166986,0
138,19.420667,-99.15645,4
139,19.415192,-99.154837,4
140,19.412182,-99.158443,4
141,19.443684,-99.152465,16
142,19.430495377066244,-99.17115971451493,5
143,19.418782,-99.157081,4
144,19.416128,-99.162097,4
145,19.409577,-99.183818,24
146,19.412776,-99.182805,24
147,19.427705,-99.19912,21
148,19.432655,-99.205727,21
149,19.435882,-99.19152,3
150,19.437934,-99.197241,3
151,19.432276,-99.18064,17
152,19.407517,-99.155373,4
153,19.434861,-99.183322,17
154,19.431417,-99.195774,3
155,19.433419,-99.195746,3
156,19.433863944714325,-99.18809428821986,3
157,19.416596,-99.156879,4
158,19.430515,-99.203331,21
159,19.429711892530808,-99.19357940565533,3
160,19.43716476942747,-99.20793056498951,21
161,19.434353,-99.20322,21
162,19.432451,-99.188033,3
163,19.441123,-99.195857,3
164,19.425907,-99.190733,3
165,19.442421,-99.199838,21
166,19.424858,-99.185181,3
167,19.425437,-99.159458,0
168,19.414303,-99.157542,4
169,19.4098481,-99.164553,12
170,19.405533,-99.164913,12
171,19.427922277979096,-99.16124593467885,0
172,19.4015,-99.156406,13
173,19.42268552552878,-99.16998323054486,5
174,19.427171,-99.158108,0
175,19.418286,-99.159932,4
176,19.424187,-99.166497,5
177,19.404268,-99.160503,13
178,19.404435569698265,-99.17138099675866,12
179,19.397373,-99.164598,13
180,19.4204342,-99.1725775,5
181,19.406959,-99.163021,12
182,19.399763,-99.177538,23
183,19.419579,-99.161314,4
184,19.426099760030304,-99.16493654251099,0
185,19.414968,-99.174766,12
186,19.415358,-99.171902,12
187,19.400599004903363,-99.17245991533491,23
188,19.412829,-99.155116,4
189,19.408841,-99.181692,24
190,19.406069,-99.183549,24
191,19.43869310388943,-99.20757338410112,21
192,19.401682,-99.176398,23
193,19.422288,-99.162138,0
194,19.423318,-99.15833,4
195,19.404554,-99.169953,12
196,19.440399,-99.186784,17
197,19.404608864422567,-99.1794095188925,24
198,19.438349,-99.192904,3
199,19.409098,-99.167181,12
200,19.437596,-99.188785,3
201,19.440106,-99.210031,21
202,19.425905,-99.204236,21
203,19.44269,-99.19083,3
204,19.434366028509015,-99.206306487431,21
205,19.406236,-99.166616,12
206,19.427517,-99.208412,21
207,19.429323620268587,-99.2071587592636,21
208,19.42703,-99.212845,21
209,19.397923,-99.167248,23
210,19.39644167553825,-99.16090227668974,13
211,19.40071,-99.163831,13
212,19.398719270170474,-99.16128046816084,13
213,19.391374,-99.159327,13
214,19.418781,-99.174413,5
215,19.428989,-99.153618,0
216,19.388456876549792,-99.16064277296753,1
217,19.392195,-99.163987,13
218,19.428184,-99.170013,5
219,19.42786220267939,-99.1914046928423,3
220,19.386212,-99.160583,1
221,19.411711,-99.190139,24
222,19.394092,-99.162139,13
223,19.410046050731914,-99.18795973067971,24
224,19.42988388240091,-99.1775936633894,5
225,19.4351365,-99.1460756,14
226,19.434183,-99.173089,17
227,19.437667,-99.17711,17
228,19.433705,-99.146665,14
229,19.404825166337652,-99.17472235863897,12
230,19.434147,-99.179835,17
231,19.444433,-99.179664,17
232,19.398532,-99.157308,13
233,19.446073,-99.181654,17
234,19.43542,-99.150317,16
235,19.4310009,-99.1821808,17
236,19.437250121513653,-99.1795731336424,17
237,19.437128,-99.158363,16
238,19.4268522887659,-99.1556279361248,0
239,19.439249,-99.181065,17
240,19.433431,-99.155142,0
241,19.43832573320297,-99.15223784747468,16
242,19.44021597,-99.1561678,16
243,19.436764,-99.153865,16
244,19.43175,-99.177399,17
245,19.442127,-99.184433,17
246,19.441133258345886,-99.16170336308824,19
247,19.426744,-99.193986,3
249,19.422392,-99.150358,4
250,19.433344,-99.14404,14
251,19.436931,-99.133952,14
252,19.429417,-99.202353,21
253,19.427059,-99.137116,14
254,19.417715,-99.162729,4
255,19.437665,-99.164018,19
256,19.430682555945197,-99.1337009892004,14
257,19.41966,-99.17588,5
258,19.413091238892452,-99.1716201604504,12
259,19.432024,-99.139705,14
260,19.43086152710901,-99.16025899353372,0
261,19.425597,-99.171409,5
262,19.408740687234836,-99.17677424853537,24
263,19.427553,-99.167396,5
264,19.407239898913133,-99.17207747708744,12
265,19.42528,-99.171099,5
266,19.434059327049166,-99.16243817658597,0
267,19.42454,-99.173247,5
268,19.419250969141167,-99.15503863246612,4
269,19.434962,-99.133729,14
270,19.421138,-99.154725,4
271,19.415905,-99.15954,4
272,19.436531,-99.131497,14
273,19.435039,-99.173879,17
275,19.430153,-99.181355,17
276,19.3543111,-99.1624361,2
277,19.394693,-99.175531,23
278,19.424178,-99.16115,0
279,19.42916,-99.162703,0
280,19.427575,-99.17702,5
281,19.429261,-99.17538,5
282,19.427166592327957,-99.16029106826954,0
283,19.428949,-99.179796,5
284,19.432850919536445,-99.18354526173061,17
285,19.431115,-99.188082,3
286,19.43384,-99.19968,21
287,19.436064,-99.198898,21
288,19.438634297233477,-99.20629061763975,21
289,19.419506460644055,-99.16636526590081,5
290,19.4165298,-99.1790435,24
291,19.431192,-99.163546,0
292,19.4337846,-99.1679872,0
293,19.441533,-99.165268,19
294,19.424941,-99.17233,5
295,19.428802,-99.164381,0
296,19.420862316439543,-99.17145028710365,5
297,19.420281,-99.174392,5
298,19.423664,-99.172568,5
299,19.42472751913646,-99.16334755721435,0
300,19.42894,-99.185389,3
301,19.431783492215445,-99.20738060028725,21
302,19.43385,-99.188275,3
303,19.440818,-99.176961,17
304,19.438984,-99.177549,17
305,19.442717,-99.152262,16
306,19.440508,-99.193681,3
307,19.433364,-99.207553,21
309,19.445039,-99.194078,3
311,19.433803,-99.166223,0
312,19.426308,-99.2033,21
313,19.444031,-99.152187,16
314,19.437496732030738,-99.18721206491682,3
315,19.434182,-99.189835,3
316,19.431799,-99.201565,21
317,19.434076,-99.194091,3
318,19.424809702659765,-99.1717654466629,5
319,19.436142,-99.200996,21
320,19.432452,-99.15924,0
321,19.429314,-99.196965,3
322,19.428847,-99.201299,21
323,19.431256,-99.158153,0
324,19.431242,-99.191613,3
325,19.367522,-99.181727,8
326,19.44002672090815,-99.20071095250022,21
327,19.41682441224743,-99.17378827934954,5
328,19.41286,-99.160661,4
329,19.41325186264067,-99.16412428026888,12
330,19.408218,-99.159911,12
331,19.431172,-99.185612,3
332,19.442,-99.1593333,16
333,19.418031,-99.168435,5
334,19.404029,-99.184342,24
335,19.435867,-99.179856,17
336,19.4431081,-99.1624537,19
337,19.421576,-99.158015,4
338,19.41331637033966,-99.17530506854746,24
339,19.413832444192096,-99.16939929138606,12
340,19.4206,-99.163312,4
341,19.41166825384696,-99.17382381861898,12
342,19.426611,-99.14447,14
343,19.42644758104329,-99.17815290396902,5
344,19.441728,-99.167477,19
345,19.4417473,-99.155639,16
346,19.410529,-99.160873,12
347,19.445947026056686,-99.16137836878987,19
348,19.4435806,-99.1648833,19
349,19.4450444,-99.1571333,16
350,19.404907,-99.162485,12
352,19.426614,-99.168078,5
353,19.432595,-99.154995,0
354,19.40796,-99.187901,24
355,19.418749,-99.171942,5
356,19.436208,-99.141931,14
357,19.399201,-99.179943,23
358,19.440252,-99.163455,19
359,19.424282,-99.180334,5
360,19.3564861,-99.1694556,20
361,19.430625,-99.14248,14
362,19.363955445342725,-99.1807891801136,15
363,19.406872,-99.169572,12
364,19.3580028,-99.1701056,20
365,19.403997,-99.1776,24
366,19.3676,-99.1849917,8
367,19.406511,-99.1678974,12
368,19.355339,-99.165613,2
369,19.3574361,-99.1637944,20
370,19.414793,-99.185083,24
371,19.4074919,-99.1651437,12
372,19.406745,-99.178272,24
373,19.410073,-99.175542,24
374,19.407512,-99.177361,24
375,19.405246,-99.15643,13
376,19.416163,-99.170795,12
377,19.403019,-99.174934,23
378,19.36205,-99.154976,11
379,19.40253247789727,-99.1782025248358,24
380,19.393059,-99.179483,18
381,19.402028398340054,-99.17129248386118,23
382,19.388748,-99.183924,18
383,19.399908,-99.166553,23
384,19.411227,-99.185514,24
385,19.397651,-99.169946,23
386,19.394412,-99.158907,13
387,19.395316464981526,-99.18172560637684,18
388,19.391647,-99.177331,18
389,19.385751,-99.186297,18
390,19.391991,-99.162684,13
391,19.390306,-99.184812,18
392,19.4032285,-99.1658539,12
393,19.396505,-99.156877,13
394,19.385531,-99.169673,1
395,19.394283,-99.158756,13
396,19.388986312246836,-99.1632449628014,1
397,19.385625037771153,-99.15819257503244,1
398,19.37076863433144,-99.1873613745247,8
399,19.435478,-99.206359,21
400,19.391456,-99.166157,23
401,19.394601,-99.165054,13
402,19.401986,-99.156366,13
403,19.43144,-99.132513,14
404,19.395043,-99.173821,23
405,19.384146,-99.185491,18
406,19.378423,-99.181891,8
407,19.373725,-99.169807,8
408,19.391056,-99.1712,23
409,19.396917,-99.166264,23
410,19.374756,-99.173539,8
411,19.384242,-99.16326,1
412,19.36967233269665,-99.17958118026945,8
413,19.377932,-99.166594,1
414,19.371279,-99.177623,8
415,19.374912,-99.185807,8
416,19.384474,-99.176084,18
417,19.38237,-99.1598779,1
418,19.392721,-99.184727,18
419,19.379941,-99.177224,18
420,19.373655,-99.179029,8
421,19.43552573443183,-99.18474711483212,17
422,19.37165,-99.17015,8
423,19.36623,-99.177904,8
424,19.386530826718293,-99.17510658508034,18
425,19.375650918831095,-99.18558642279095,8
426,19.368403,-99.177472,8
427,19.380839,-99.183932,18
428,19.38201131984727,-99.17328938847277,18
429,19.38496594717172,-99.17411729704327,18
430,19.39638,-99.1727082,23
431,19.378546,-99.174297,8
432,19.372101,-99.161501,1
433,19.381287,-99.1702,1
434,19.363548,-99.170766,20
435,19.401807,-99.15909,13
436,19.4035308,-99.1816702,24
437,19.373833,-99.157433,6
438,19.435985,-99.194832,3
439,19.438143,-99.17519,17
440,19.442338,-99.205198,21
441,19.440905,-99.181743,17
442,19.436287,-99.174888,17
443,19.389477,-99.157513,13
444,19.359475,-99.159437,20
445,19.361213660076572,-99.16772089901315,20
446,19.434514,-99.138068,14
447,19.417702,-99.155313,4
448,19.379331,-99.161163,1
449,19.37104,-99.165653,20
450,19.406833,-99.180457,24
451,19.438173973703993,-99.20383617292828,21
452,19.388978,-99.174811,18
453,19.378351,-99.143996,6
454,19.371142,-99.158591,6
455,19.421762,-99.166931,5
456,19.364956,-99.1629867,20
457,19.391431,-99.178989,18
458,19.430098,-99.200074,21
459,19.438506,-99.172696,17
460,19.373004,-99.174764,8
461,19.424842,-99.203739,21
462,19.380617,-99.167066,1
463,19.448764,-99.156817,16
464,19.393807,-99.171133,23
465,19.428491,-99.171693,5
466,19.449039,-99.170246,19
467,19.410699360989387,-99.16587710386011,12
468,19.41199,-99.155699,4
469,19.445528,-99.166934,19
470,19.457543649054422,-99.15946327155325,10
471,19.410797,-99.168143,12
472,19.438347,-99.190503,3
473,19.36704,-99.167387,20
474,19.449367,-99.182461,17
475,19.453432,-99.174636,10
476,19.455343,-99.179056,7
477,19.453146248510524,-99.16645511990282,10
478,19.458881,-99.159215,10
479,19.452688,-99.170157,10
480,19.449153,-99.173433,19
481,19.455571630398424,-99.17513005440924,10
